Numero reference FREE	<RT951113>										
Prestation	MT1234										
Numero Requisitionne	33654342234										
Date de la requisition	2020-03-23 15h05m50s										
Debut de la Fadet	2019-12-01 11h11m11s										
Fin de la Fadet	2020-02-20 23h59m59s										
Nombre d'appels/sms/mms listes	667										
											
msisdn cible	type d'appel	complement type d'appel	sens d'appel	correspondant	renvoi	date	heure	duree(s)	sms status	imei cible	imsi cible
33654342234	SMS		emis	33656780789		01/12/2019	09:42:16		1		2,08911E+14
33654342234	SMS		emis	33656780789		01/12/2019	09:41:16		1		2,08911E+14
33654342234	SMS		emis	33656780789		01/12/2019	09:43:25		1		2,08911E+14
33654342234	SMS		emis	33656780789		01/12/2019	07:03:40		1		2,08911E+14
33654342234	SMS		emis	33656780789		01/12/2019	07:03:24		1		2,08911E+14
33654342234	SMS		emis	33656780789		01/12/2019	07:23:14		1		2,08911E+14
33654342234	VOIX		emis	33697831549		01/12/2019	09:10:45	30		3,56779E+14	2,08911E+14
33654342234	LOC			63564816c6c617369		01/12/2019	13:13:23				2,08911E+14
33654342234	VOIX		emis	33678901234		01/12/2019	17:19:13	61		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33678901234		01/12/2019	17:40:11	31		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33612347186		01/12/2019	19:11:04	62		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33678901234		01/12/2019	20:29:48	66		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33678901234		01/12/2019	20:22:49	27		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33689381111		02/12/2019	10:42:26	189		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33697831549		02/12/2019	10:26:28	34		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33697831549		02/12/2019	12:13:48	25		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33678901234		02/12/2019	17:27:17	87		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33753014725		02/12/2019	17:13:24	423		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33751519782		03/12/2019	07:22:20	24		3,56779E+14	
33654342234	VOIX		emis	33697831549		03/12/2019	09:42:21	198		3,56779E+14	
33654342234	VOIX		emis	33678901234		03/12/2019	12:46:21	82		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33753014725		03/12/2019	16:03:29	52		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33697831549		03/12/2019	16:26:24	5		3,56779E+14	
33654342234	VOIX		emis	33678901234		03/12/2019	17:13:29	132		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33697831549		04/12/2019	12:49:44	285		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33697831549		05/12/2019	10:07:17	40		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33689381111		05/12/2019	16:09:09	171		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33678901234		05/12/2019	17:27:25	49		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33697831549		05/12/2019	21:07:14	146			2,08911E+14
33654342234	VOIX		emis	33697831549		06/12/2019	10:09:26	86		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33656780789		06/12/2019	12:43:17	136		3,56779E+14	2,08911E+14
33654342234	VOIX		emis	33673492079		06/12/2019	12:46:47	188		3,56779E+14	2,08911E+14
