Type;IMSI;MSISDN concerné;Correspondant;Date de début;Durée (sec./octets);Localisation;IMEI;Numéro de renvoi;Services utilisés;MSRN;MSC;CFACT;Adresse PDP;Point Accès;Vol. sort;Vol. entr;Type de couv;Portabilité;Origine Porta;Ad Mail MMS Corresp;Ad Mail MMS MSISDN;Imsi de destination MMS;ID Hot Spot;ID P Accès;Préfixe ZB;MSISDN second;Nb appelés;Nb effectifs;ID Plate-forme;Classe d'appel;Type d'appel;Ref appel;ID Groupe;Durée intervention;Nb interventions;Adresse Mac Wifi
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 20:07;43255 sec;25896 09CFB06;3,56986E+13;;GPRS;;33441155550;;10.154.130.49;orange;293589;694983;4G/LTE;XX;;;;;;;;;;;;;;;;;;
FR-APP-ENTR;2,12346E+14;33612565595;33623427186;01/09/2019 20:05;96 sec;25896 720A E615;3,56986E+13;;TEL;;3318555;;;;;;UMTS;PE;OF;;;;;;;;;;;;;;;96;;
FR-APP-REAC;2,12346E+14;33612565595;33623427186;01/09/2019 20:05;96 sec;;;;TEL;33654305559;3318555;;;;;;;PE;OF;;;;;;;;;;;;;;;96;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 20:05;110 sec;25896 720A E615;3,56986E+13;;GPRS;;33409355550;;10.154.130.49;orangemnc551.mcc208.gprs;0;0;UMTS;XX;;;;;;;;;;;;;;;;;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 20:05;3 sec;25896 720A E615;3,56986E+13;;GPRS;;33409355550;;10.154.130.49;orangemnc551.mcc208.gprs;0;0;UMTS;XX;;;;;;;;;;;;;;;;;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 20:05;1 sec;25896 720A E615;3,56986E+13;;GPRS;;33409355550;;10.154.130.49;orangemnc551.mcc208.gprs;0;0;UMTS;XX;;;;;;;;;;;;;;;;;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 17:02;3757 sec;25896 09CFB06;3,56986E+13;;GPRS;;33441155550;;10.154.130.49;orange;4258718;616401;4G/LTE;XX;;;;;;;;;;;;;;;;;;
FR-APP-SORT;2,12346E+14;33612565595;33623427186;01/09/2019 17:01;65 sec;25896 720A E615;3,56986E+13;;TEL;;3318555;;;;;;UMTS;PE;OF;;;;;;;;;;;;;;;65;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 17:01;87 sec;25896 720A E615;3,56986E+13;;GPRS;;33408355550;;10.154.130.49;orangemnc551.mcc208.gprs;0;0;UMTS;XX;;;;;;;;;;;;;;;;;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 17:01;0 sec;25896 720A E615;3,56986E+13;;GPRS;;33408355550;;10.154.130.49;orangemnc551.mcc208.gprs;0;0;UMTS;XX;;;;;;;;;;;;;;;;;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 17:01;1 sec;25896 720A E615;3,56986E+13;;GPRS;;33408355550;;10.154.130.49;orangemnc551.mcc208.gprs;0;260;UMTS;XX;;;;;;;;;;;;;;;;;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 18:28;41670 sec;2 589 655 555 555;3,56986E+13;;GPRS;;33463555555;;10.154.130.49;orange;4522309;5446296;UMTS;XX;;;;;;;;;;;;;;;;;;
GPRS-UMTS-T;2,12346E+14;33612565595;;01/09/2019 18:28;41685 sec;2 589 655 555 555;3,56986E+13;;GPRS;;33463555555;;10.154.130.49;GRATURL;31725;57941;UMTS;XX;;;;;;;;;;;;;;;;;;
FR-SMS-ENTR;2,12346E+14;33612565595;7;01/09/2019 17:49;1 sms;25896 09CFB06;3,56986E+13;;SMS-MT;;3318555;;;;;;4G/LTE;XX;;;;;;;;;;;;;;;;1;;
FR-SMS-ENTR;2,12346E+14;33612565595;56957;01/09/2019 17:49;45 car;;;;SMS_C/MT;;33553555555;;;;;;;XX;;;;;;;;;;;;;;;;45;;
